id,instance_type,architecture,start_type,operation,language,iteration,execution_time_ms,avg_cpu_usage_percent,max_memory_usage_mb,avg_memory_usage_mb
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,0,11036.566739999955,25.02,62.68359375,47.124225136850406
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,1,1656.8432909999729,27.18,63.203125,56.4494645053839
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,2,1670.7888710000134,31.81,63.1015625,56.862124876089624
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,3,1747.8813710000054,27.92,62.44140625,55.663649893938704
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,4,1660.3098690000024,37.97,63.3203125,56.7857081871605
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,5,1659.7825599999965,40.03,62.06640625,55.697443458664935
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,6,1679.909455000029,29.32,63.32421875,56.84262750019725
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,7,1652.313749999962,29.59,62.3203125,55.77837839591452
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,8,1650.9403290000364,42.12,62.9765625,56.498399108963774
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,9,1684.6238509999694,48.07,63.19140625,57.08117115825688
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,10,1639.8869980000086,27.23,62.56640625,55.884734548214865
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,11,1689.0597270000285,27.33,62.828125,56.67690725793676
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,12,1618.842686999983,26.74,62.3203125,55.84476978965303
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,13,1639.335320999976,26.89,62.69921875,56.2971432951758
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,14,1648.6048040000014,27.26,62.8203125,56.23768292953855
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,15,1687.520419000009,27.3,63.1953125,57.0363061054411
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,16,1636.5525460000185,27.08,62.6953125,56.28833770751953
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,17,1629.9460579999732,26.52,62.6015625,55.87273902269173
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,18,1684.654562999981,27.24,63.1953125,56.73925462192134
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,19,1728.567804000022,27.96,62.953125,56.879957072378545
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,20,1670.6550530000186,27.04,62.31640625,56.107602660123966
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,21,1681.7710970000235,27.86,63.3203125,56.748189963558225
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,22,1660.0682160000133,26.68,62.56640625,55.86835699260785
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,23,1614.0446830000315,26.78,62.94921875,55.948384863133896
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,24,1684.5537770000192,27.01,62.82421875,56.79367719141893
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,25,1869.8104050000097,26.9,63.3203125,57.56944427022106
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,26,1631.5819829999896,26.62,62.69921875,55.88790758077113
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,27,1714.0264619999925,27.31,62.5703125,56.69163746105919
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,28,1640.131918999998,27.66,62.44921875,56.36870210660329
960b45b9-df04-44ac-b17f-909a7e63504c,standard_b8ms,x86,cold,ecc256_sign,c#,29,1646.152848999975,27.02,62.953125,56.225131586399975
ca30d92f-8493-4dd8-892a-463bdf7f5942,standard_b8ms,x86,warm,ecc256_sign,c#,0,1653.275076,27.49,62.82421875,56.56424407492355
ca30d92f-8493-4dd8-892a-463bdf7f5942,standard_b8ms,x86,warm,ecc256_sign,c#,1,1688.3496600000285,27.69,63.57421875,56.996564782897444
ca30d92f-8493-4dd8-892a-463bdf7f5942,standard_b8ms,x86,warm,ecc256_sign,c#,2,1677.6739420000126,27.56,63.4453125,56.88549025572567
ca30d92f-8493-4dd8-892a-463bdf7f5942,standard_b8ms,x86,warm,ecc256_sign,c#,3,1687.4429499999906,28.03,63.453125,57.15406058126057
