id,instance_type,architecture,start_type,operation,language,iteration,execution_time_ms,avg_cpu_usage_percent,max_memory_usage_mb,avg_memory_usage_mb
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,0,13587.140820000059,51.47,65.234375,49.16643715815311
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,1,2167.636539,56.03,64.06640625,57.63847236574173
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,2,2056.909033000011,53.28,63.19921875,56.39490791086681
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,3,2037.97044800001,55.51,63.47265625,57.191276054233825
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,4,2055.2948900000274,55.75,63.96875,57.219311228544186
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,5,2014.9139449999893,56.33,63.8203125,57.89224518631758
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,6,2018.5789290000002,53.79,63.1953125,56.155625100952996
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,7,1928.3017699999618,56.75,63.9765625,57.54588212657754
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,8,2154.1158280000445,53.26,63.6953125,57.352270114396475
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,9,2054.754968999987,53.46,63.19921875,56.42566902350563
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,10,2058.0836830000635,53.46,63.07421875,56.20662297416243
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,11,2008.697694000034,56.61,63.94140625,57.67071136034084
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,12,2008.820104999927,53.93,63.1953125,56.20022838680927
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,13,1934.8530319999782,57.05,64.06640625,57.6459379386818
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,14,2017.2455540000556,55.96,64.1953125,57.72982188315664
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,15,2031.542824999974,55.98,64.19921875,58.053203789122875
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,16,2034.6236979999048,56.1,63.94140625,57.32678284233127
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,17,2041.0888330000034,55.23,64.0703125,57.30677666914065
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,18,2026.7393149999862,54.13,63.1953125,56.36678179894858
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,19,1987.8690869999218,56.75,64.07421875,57.868209274916154
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,20,2067.4354029999904,54.17,63.1953125,56.25624601929609
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,21,2183.2668170000034,55.88,64.0703125,57.9750941343938
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,22,2238.142674999949,55.54,63.9765625,57.76127056218366
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,23,2210.143488999961,56.58,64.07421875,57.47249061642712
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,24,2140.4296000000613,56.94,64.19140625,57.97950368067413
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,25,2107.2727870000563,55.17,63.8203125,57.422417286238165
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,26,2149.7880189999705,56.06,63.94140625,57.47159137828392
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,27,2135.812400999953,56.52,63.69921875,56.91283215876503
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,28,2138.4794360000114,56.29,64.19140625,57.570706015156844
85c7f3e4-9d9d-4737-a4a3-5651ffb613ee,standard_b4ms,x86,cold,ecc256_sign,c#,29,2240.689108999959,52.91,63.94140625,57.59315021698867
75fb56d9-a47c-4268-a03f-d77b00da39d8,standard_b4ms,x86,warm,ecc256_sign,c#,0,2056.0313610000094,57.11,63.82421875,57.728176483024306
75fb56d9-a47c-4268-a03f-d77b00da39d8,standard_b4ms,x86,warm,ecc256_sign,c#,1,2089.657787999954,55.74,63.8203125,57.16610674442191
75fb56d9-a47c-4268-a03f-d77b00da39d8,standard_b4ms,x86,warm,ecc256_sign,c#,2,2154.0660989999196,55.88,64.19921875,57.610265901193536
75fb56d9-a47c-4268-a03f-d77b00da39d8,standard_b4ms,x86,warm,ecc256_sign,c#,3,2177.569583000036,56.55,63.6953125,57.29196512469051
75fb56d9-a47c-4268-a03f-d77b00da39d8,standard_b4ms,x86,warm,ecc256_sign,c#,4,2075.896274999991,55.68,63.9453125,57.40353239595403
75fb56d9-a47c-4268-a03f-d77b00da39d8,standard_b4ms,x86,warm,ecc256_sign,c#,5,2171.390116999987,56.29,63.6953125,57.582209770288195
75fb56d9-a47c-4268-a03f-d77b00da39d8,standard_b4ms,x86,warm,ecc256_sign,c#,6,2130.4544609999994,55.99,64.1953125,57.54539526143544
75fb56d9-a47c-4268-a03f-d77b00da39d8,standard_b4ms,x86,warm,ecc256_sign,c#,7,2176.2897879999628,55.97,63.9453125,57.867300851004465
75fb56d9-a47c-4268-a03f-d77b00da39d8,standard_b4ms,x86,warm,ecc256_sign,c#,8,2146.81999000004,55.45,63.6953125,57.61398006134969
75fb56d9-a47c-4268-a03f-d77b00da39d8,standard_b4ms,x86,warm,ecc256_sign,c#,9,2087.471462999929,55.69,63.8203125,57.6218397084319
