start_type,language,architecture,operation,execution_time_ms,memory_size
cold,c#,x86,rsa2048_decrypt,140.7418,1500
cold,c#,x86,rsa2048_decrypt,130.7984,1500
cold,c#,x86,rsa2048_decrypt,166.7077,1500
cold,c#,x86,rsa2048_decrypt,115.6441,1500
cold,c#,x86,rsa2048_decrypt,138.2769,1500
cold,c#,x86,rsa2048_decrypt,125.1103,1500
cold,c#,x86,rsa2048_decrypt,354.8002,1500
cold,c#,x86,rsa2048_decrypt,184.9696,1500
cold,c#,x86,rsa2048_decrypt,142.879,1500
cold,c#,x86,rsa2048_decrypt,139.8462,1500
cold,c#,x86,rsa2048_decrypt,114.8593,1500
cold,c#,x86,rsa2048_decrypt,140.2813,1500
cold,c#,x86,rsa2048_decrypt,126.6934,1500
cold,c#,x86,rsa2048_decrypt,121.4094,1500
cold,c#,x86,rsa2048_decrypt,132.846,1500
cold,c#,x86,rsa2048_decrypt,128.3817,1500
cold,c#,x86,rsa2048_decrypt,120.8577,1500
cold,c#,x86,rsa2048_decrypt,124.6919,1500
cold,c#,x86,rsa2048_decrypt,112.4658,1500
cold,c#,x86,rsa2048_decrypt,118.2914,1500
cold,c#,x86,rsa2048_decrypt,110.3596,1500
cold,c#,x86,rsa2048_decrypt,137.515,1500
cold,c#,x86,rsa2048_decrypt,118.6419,1500
cold,c#,x86,rsa2048_decrypt,118.7823,1500
cold,c#,x86,rsa2048_encrypt,6767.6705,1500
cold,c#,x86,rsa2048_encrypt,131.2293,1500
cold,c#,x86,rsa2048_encrypt,143.1995,1500
cold,c#,x86,rsa2048_encrypt,100.7302,1500
cold,c#,x86,rsa2048_encrypt,91.6438,1500
cold,c#,x86,rsa2048_encrypt,82.1165,1500
cold,c#,x86,rsa2048_encrypt,83.1147,1500
cold,c#,x86,rsa2048_encrypt,66.8984,1500
cold,c#,x86,rsa2048_encrypt,349.7146,1500
cold,c#,x86,rsa2048_encrypt,155.9764,1500
cold,c#,x86,rsa2048_encrypt,90.7151,1500
cold,c#,x86,rsa2048_encrypt,91.2641,1500
cold,c#,x86,rsa2048_encrypt,75.3313,1500
cold,c#,x86,rsa2048_encrypt,75.0996,1500
cold,c#,x86,rsa2048_encrypt,79.2063,1500
cold,c#,x86,rsa2048_encrypt,71.2463,1500
cold,c#,x86,rsa2048_encrypt,82.7073,1500
cold,c#,x86,rsa2048_encrypt,70.2121,1500
cold,c#,x86,rsa2048_encrypt,70.0641,1500
cold,c#,x86,rsa2048_encrypt,85.9789,1500
cold,c#,x86,rsa2048_encrypt,69.9202,1500
cold,c#,x86,rsa2048_encrypt,124.0043,1500
cold,c#,x86,rsa2048_encrypt,68.0687,1500
cold,c#,x86,rsa2048_encrypt,71.0715,1500
cold,c#,x86,rsa2048_encrypt,92.2255,1500
cold,c#,x86,rsa2048_encrypt,68.1254,1500
cold,c#,x86,rsa2048_encrypt,73.7038,1500
cold,c#,x86,rsa2048_encrypt,77.3716,1500
cold,c#,x86,rsa2048_encrypt,59.7275,1500
cold,c#,x86,rsa2048_encrypt,77.6447,1500
cold,c#,x86,rsa3072_decrypt,7321.0626,1500
cold,c#,x86,rsa3072_decrypt,156.7485,1500
cold,c#,x86,rsa3072_decrypt,156.5308,1500
cold,c#,x86,rsa3072_decrypt,141.7238,1500
cold,c#,x86,rsa3072_decrypt,145.9963,1500
cold,c#,x86,rsa3072_decrypt,125.051,1500
cold,c#,x86,rsa3072_decrypt,275.3687,1500
cold,c#,x86,rsa3072_decrypt,145.2843,1500
cold,c#,x86,rsa3072_decrypt,138.6258,1500
cold,c#,x86,rsa3072_decrypt,160.8297,1500
cold,c#,x86,rsa3072_decrypt,117.5115,1500
cold,c#,x86,rsa3072_decrypt,135.4602,1500
cold,c#,x86,rsa3072_decrypt,139.745,1500
cold,c#,x86,rsa3072_decrypt,125.3618,1500
cold,c#,x86,rsa3072_decrypt,120.3414,1500
cold,c#,x86,rsa3072_decrypt,119.3678,1500
cold,c#,x86,rsa3072_decrypt,128.5223,1500
cold,c#,x86,rsa3072_decrypt,118.369,1500
cold,c#,x86,rsa3072_decrypt,162.2025,1500
cold,c#,x86,rsa3072_decrypt,118.0791,1500
cold,c#,x86,rsa3072_decrypt,120.1579,1500
cold,c#,x86,rsa3072_decrypt,112.8007,1500
cold,c#,x86,rsa3072_decrypt,150.142,1500
cold,c#,x86,rsa3072_decrypt,123.1192,1500
cold,c#,x86,rsa3072_decrypt,136.217,1500
cold,c#,x86,rsa3072_decrypt,111.3656,1500
cold,c#,x86,rsa3072_decrypt,111.3905,1500
cold,c#,x86,rsa3072_decrypt,111.29,1500
cold,c#,x86,rsa3072_decrypt,244.8855,1500
cold,c#,x86,rsa3072_decrypt,7078.6988,1500
cold,c#,x86,rsa3072_encrypt,6784.7615,1500
cold,c#,x86,rsa3072_encrypt,120.6139,1500
cold,c#,x86,rsa3072_encrypt,101.8821,1500
cold,c#,x86,rsa3072_encrypt,82.0053,1500
cold,c#,x86,rsa3072_encrypt,83.4299,1500
cold,c#,x86,rsa3072_encrypt,137.1105,1500
cold,c#,x86,rsa3072_encrypt,86.5188,1500
cold,c#,x86,rsa3072_encrypt,92.455,1500
cold,c#,x86,rsa3072_encrypt,101.61,1500
cold,c#,x86,rsa3072_encrypt,84.8227,1500
cold,c#,x86,rsa3072_encrypt,84.4149,1500
cold,c#,x86,rsa3072_encrypt,78.9654,1500
cold,c#,x86,rsa3072_encrypt,65.3363,1500
cold,c#,x86,rsa3072_encrypt,83.3613,1500
cold,c#,x86,rsa3072_encrypt,76.1465,1500
cold,c#,x86,rsa3072_encrypt,74.2952,1500
cold,c#,x86,rsa3072_encrypt,97.7714,1500
cold,c#,x86,rsa3072_encrypt,64.8619,1500
cold,c#,x86,rsa3072_encrypt,79.985,1500
cold,c#,x86,rsa3072_encrypt,74.3464,1500
cold,c#,x86,rsa3072_encrypt,82.7419,1500
cold,c#,x86,rsa3072_encrypt,81.3152,1500
cold,c#,x86,rsa3072_encrypt,77.551,1500
cold,c#,x86,rsa3072_encrypt,75.1499,1500
cold,c#,x86,rsa3072_encrypt,69.4723,1500
cold,c#,x86,rsa3072_encrypt,77.093,1500
cold,c#,x86,rsa3072_encrypt,73.0975,1500
cold,c#,x86,rsa3072_encrypt,65.8052,1500
cold,c#,x86,rsa3072_encrypt,99.3116,1500
cold,c#,x86,rsa3072_encrypt,97.2605,1500
cold,c#,x86,rsa4096_decrypt,12765.7895,1500
cold,c#,x86,rsa4096_decrypt,188.6728,1500
cold,c#,x86,rsa4096_decrypt,198.7494,1500
cold,c#,x86,rsa4096_decrypt,198.4409,1500
cold,c#,x86,rsa4096_decrypt,178.3416,1500
cold,c#,x86,rsa4096_decrypt,163.2959,1500
cold,c#,x86,rsa4096_decrypt,184.0613,1500
cold,c#,x86,rsa4096_decrypt,162.563,1500
cold,c#,x86,rsa4096_decrypt,249.67,1500
cold,c#,x86,rsa4096_decrypt,156.7648,1500
cold,c#,x86,rsa4096_decrypt,153.279,1500
cold,c#,x86,rsa4096_decrypt,179.2265,1500
cold,c#,x86,rsa4096_decrypt,179.6649,1500
cold,c#,x86,rsa4096_decrypt,175.0425,1500
cold,c#,x86,rsa4096_decrypt,151.5424,1500
cold,c#,x86,rsa4096_decrypt,149.4976,1500
cold,c#,x86,rsa4096_decrypt,157.2028,1500
cold,c#,x86,rsa4096_decrypt,153.4836,1500
cold,c#,x86,rsa4096_decrypt,164.6891,1500
cold,c#,x86,rsa4096_decrypt,155.2248,1500
cold,c#,x86,rsa4096_decrypt,139.7377,1500
cold,c#,x86,rsa4096_decrypt,148.7202,1500
cold,c#,x86,rsa4096_decrypt,182.0657,1500
cold,c#,x86,rsa4096_decrypt,138.4118,1500
cold,c#,x86,rsa4096_decrypt,133.9345,1500
cold,c#,x86,rsa4096_decrypt,158.9244,1500
cold,c#,x86,rsa4096_decrypt,142.0049,1500
cold,c#,x86,rsa4096_decrypt,139.1824,1500
cold,c#,x86,rsa4096_decrypt,146.2971,1500
cold,c#,x86,rsa4096_decrypt,156.8998,1500
cold,c#,x86,rsa4096_encrypt,7066.5353,1500
cold,c#,x86,rsa4096_encrypt,92.3574,1500
cold,c#,x86,rsa4096_encrypt,117.8621,1500
cold,c#,x86,rsa4096_encrypt,74.2939,1500
cold,c#,x86,rsa4096_encrypt,89.104,1500
cold,c#,x86,rsa4096_encrypt,80.1616,1500
